CAPEX_k,PRICE_k,REC_k,Disc,Best_P50_NPV_M
0.85,0.8,0.5,0.06999999999999999,-225.6
0.85,0.8,0.5,0.09,-200.6
0.85,0.8,0.5,0.11,-182.8
0.85,0.8,1.0,0.06999999999999999,-210.7
0.85,0.8,1.0,0.09,-188.8
0.85,0.8,1.0,0.11,-174.1
0.85,0.8,1.5,0.06999999999999999,-195.7
0.85,0.8,1.5,0.09,-177.9
0.85,0.8,1.5,0.11,-165.1
0.85,1.0,0.5,0.06999999999999999,-225.3
0.85,1.0,0.5,0.09,-200.2
0.85,1.0,0.5,0.11,-183.2
0.85,1.0,1.0,0.06999999999999999,-211.2
0.85,1.0,1.0,0.09,-189.1
0.85,1.0,1.0,0.11,-174.2
0.85,1.0,1.5,0.06999999999999999,-196.0
0.85,1.0,1.5,0.09,-177.8
0.85,1.0,1.5,0.11,-165.1
0.85,1.2,0.5,0.06999999999999999,-225.6
0.85,1.2,0.5,0.09,-199.9
0.85,1.2,0.5,0.11,-182.9
0.85,1.2,1.0,0.06999999999999999,-211.0
0.85,1.2,1.0,0.09,-188.7
0.85,1.2,1.0,0.11,-174.0
0.85,1.2,1.5,0.06999999999999999,-196.6
0.85,1.2,1.5,0.09,-178.1
0.85,1.2,1.5,0.11,-165.1
1.0,0.8,0.5,0.06999999999999999,-246.8
1.0,0.8,0.5,0.09,-220.3
1.0,0.8,0.5,0.11,-202.2
1.0,0.8,1.0,0.06999999999999999,-231.4
1.0,0.8,1.0,0.09,-209.1
1.0,0.8,1.0,0.11,-193.6
1.0,0.8,1.5,0.06999999999999999,-217.1
1.0,0.8,1.5,0.09,-197.8
1.0,0.8,1.5,0.11,-184.0
1.0,1.0,0.5,0.06999999999999999,-246.5
1.0,1.0,0.5,0.09,-220.1
1.0,1.0,0.5,0.11,-202.3
1.0,1.0,1.0,0.06999999999999999,-231.6
1.0,1.0,1.0,0.09,-208.8
1.0,1.0,1.0,0.11,-193.2
1.0,1.0,1.5,0.06999999999999999,-216.8
1.0,1.0,1.5,0.09,-197.0
1.0,1.0,1.5,0.11,-184.0
1.0,1.2,0.5,0.06999999999999999,-246.2
1.0,1.2,0.5,0.09,-219.8
1.0,1.2,0.5,0.11,-202.2
1.0,1.2,1.0,0.06999999999999999,-231.1
1.0,1.2,1.0,0.09,-208.5
1.0,1.2,1.0,0.11,-193.2
1.0,1.2,1.5,0.06999999999999999,-216.8
1.0,1.2,1.5,0.09,-197.8
1.0,1.2,1.5,0.11,-184.0
1.15,0.8,0.5,0.06999999999999999,-266.6
1.15,0.8,0.5,0.09,-240.0
1.15,0.8,0.5,0.11,-221.2
1.15,0.8,1.0,0.06999999999999999,-252.1
1.15,0.8,1.0,0.09,-228.9
1.15,0.8,1.0,0.11,-212.5
1.15,0.8,1.5,0.06999999999999999,-237.4
1.15,0.8,1.5,0.09,-216.8
1.15,0.8,1.5,0.11,-203.1
1.15,1.0,0.5,0.06999999999999999,-267.3
1.15,1.0,0.5,0.09,-239.5
1.15,1.0,0.5,0.11,-220.7
1.15,1.0,1.0,0.06999999999999999,-252.5
1.15,1.0,1.0,0.09,-228.5
1.15,1.0,1.0,0.11,-212.6
1.15,1.0,1.5,0.06999999999999999,-237.3
1.15,1.0,1.5,0.09,-216.7
1.15,1.0,1.5,0.11,-202.8
1.15,1.2,0.5,0.06999999999999999,-267.0
1.15,1.2,0.5,0.09,-240.0
1.15,1.2,0.5,0.11,-220.8
1.15,1.2,1.0,0.06999999999999999,-251.9
1.15,1.2,1.0,0.09,-228.3
1.15,1.2,1.0,0.11,-212.1
1.15,1.2,1.5,0.06999999999999999,-237.6
1.15,1.2,1.5,0.09,-217.8
1.15,1.2,1.5,0.11,-202.9
